Species,LifeForm,Count,Mean,Rank,CumAve,PlantCode,Genus,also in sponly,nspp in genus,nspp recorded,
Agropyron sp,graminoid,31,8.732258065,2,20.72580645,AGRO SP,Agropyron,y,"3, incl SP",1,
Alopecurus sp,graminoid,31,0.767741935,30,83.31935484,NA,Alopecurus,n,1,0,
Astragalus sp,forb,31,0.722580645,32,84.79032258,ASTR SP,Astragalus,n,"3, incl SP",1,
Carex sp,graminoid,31,7.490322581,3,28.21612903,CARE SP,Carex,n,"11, incl SP",2,
Centaurea sp,forb,31,1.935483871,15,64.81290323,NA,Centaurea,n,1,1,
Cirsium sp,forb,31,0.948387097,28,81.61935484,NA,Cirsium,n,"4, incl SP",1,SP
Cornus sp,forb,21,0.277419355,53,94.9516129,NA,Cornus,n,2,0,
Equisetum sp,forb,31,0.438709677,46,92.67741935,NA,Equisetum,n,4,0,
Galium sp,forb,31,0.570967742,39,89.16451613,NA,Galium,n,2,0,
Lupinus sp,forb,31,6.04516129,4,34.26129032,LUPI SP,Lupinus,n,"4, incl SP",3,1SP
Penstemon sp,forb,11,0.75,34,85.55,PENS SP,Penstemon,n,"7, incl SP",4,1SP
Phlox sp,forb,31,0.303225806,50,94.11290323,NA,Phlox,n,0,0,
Physocarpus sp,shrub,31,1.364516129,21,74.17419355,NA,Physocarpus,n,1,1,
Pinus sp,tree,31,1.061290323,25,78.62258065,NA,Pinus,n,3,0,
Poa sp,graminoid,31,11.99354839,1,11.99354839,POA SP,Poa,y,"8, incl SP",4,
Populus sp,tree,21,0.467741935,44,91.77741935,NA,Populus,n,2,0,
Potentilla sp,forb,21,0.635483871,35,86.80322581,POTE SP,Potentilla,n,"5, incl SP",3,
Prunus sp,shrub,31,0.316129032,49,93.80967742,NA,Prunus,n,1,0,
Pseudoroegneria spicata,graminoid,31,1.229032258,22,75.40322581,PSESPI,Pseudoroegneria,n,1,1,
Ranunculus sp,forb,31,0.570967742,40,89.73548387,RANU SP,Ranunculus,n,"3, incl SP",1,
Salix sp,shrub,31,2.306451613,12,58.95483871,SALI SP,Salix,n,"2, incl SP",0,
Salix sp,shrub,31,0.419354839,47,93.09677419,SALI SP,Salix,n,,0,
Shepherdia sp,shrub,31,1.670967742,16,66.48387097,NA,Shepherdia,n,1,0,
Solidago sp,forb,31,0.551612903,41,90.28709677,NA,Solidago,n,1,1,
Taraxacum sp,forb,31,0.703225806,33,85.49354839,NA,Taraxacum,n,1,1,
Trifolium sp,forb,31,1.087096774,23,76.49032258,TRIF SP,Trifolium,n,"7, incl SP",0,
Vaccinium sp,shrub,31,0.932258065,29,82.5516129,NA,Vaccinium,n,3,0,
Verbascum sp,forb,31,4.464516129,5,38.72580645,NA,Verbascum,n,2,0,
